Wall time,Step,Value,Error
1554988037.72137,77,61.8452262878418,9.61549758911133
1554988039.46557,78,62.1685562133789,9.47404479980469
1554988041.06421,79,62.4165840148926,9.33936023712158
1554988044.30848,80,62.727294921875,9.22831249237061
1554988046.04569,81,63.0060234069824,9.1375036239624
1554988047.71214,82,63.2891540527344,9.0273609161377
1554988049.3439,83,63.5504302978516,8.87791061401367
1554988050.95745,84,63.8225631713867,8.75127792358398
1554988052.94998,85,64.0469131469727,8.65917205810547
1554988054.72604,86,64.2266616821289,8.56378555297852
1554988056.55691,87,64.4480285644531,8.47809791564941
1554988058.31965,88,64.6960372924805,8.38074779510498
1554988060.04869,89,64.925651550293,8.30214309692383
1554988062.59066,90,65.2022476196289,8.22047424316406
1554988064.39731,91,65.3482513427734,8.22181797027588
1554988065.98947,92,65.5688858032227,8.15408802032471
1554988067.76915,93,65.7101974487305,8.17450141906738
1554988069.24949,94,65.93310546875,8.1020679473877
1554988070.87812,95,66.0630416870117,8.09924507141113
1554988072.58154,96,66.2412185668945,8.04260349273682
1554988074.21817,97,66.434211730957,7.98098945617676
1554988076.17798,98,66.5207290649414,7.93049573898315
1554988077.75424,99,66.7068328857422,7.8757004737854
1554988080.71663,100,66.8541107177734,7.81293821334839
1554988082.54831,101,67.1792831420899,7.64961624145508
1554988084.11755,102,67.506591796875,7.52359294891357
1554988085.8248,103,67.9904556274414,7.47520923614502
1554988087.34547,104,68.4366226196289,7.55355024337769
1554988088.70279,105,68.936279296875,7.35761833190918
1554988090.22368,106,69.4266738891602,7.29856681823731
1554988091.79242,107,69.8056564331055,7.58276748657227
1554988093.33839,108,70.0180969238281,7.62986707687378
1554988094.6503,109,70.6472549438477,7.81495428085327
1554988097.17918,110,71.086555480957,7.81159114837647
1554988098.90226,111,71.3917922973633,7.82820987701416
1554988100.48196,112,71.8074645996094,7.87673425674439
1554988102.19181,113,72.2635803222656,7.80016565322876
1554988104.00844,114,72.5798568725586,7.98013305664063
1554988105.58982,115,73.0286026000977,8.07675933837891
1554988107.28471,116,73.4477081298828,7.89205408096314
1554988108.8101,117,73.7774658203125,7.74277782440186
1554988110.06764,118,74.3731155395508,7.57870578765869
1554988111.65938,119,74.711799621582,7.51966857910156
1554988114.19014,120,74.9741058349609,7.67110300064087
1554988115.61715,121,75.4339065551758,7.65775012969971
1554988117.6173,122,75.650016784668,7.47975540161133
1554988118.96652,123,76.0910034179688,7.50842523574829
1554988120.68656,124,76.3472747802734,7.53882884979248
1554988122.16337,125,76.6491546630859,7.52761793136597
1554988123.59544,126,77.0760192871094,7.59757661819458
1554988125.10772,127,77.5283660888672,7.69072961807251
1554988126.67086,128,77.8437423706055,7.63365173339844
1554988128.16772,129,78.0618057250977,7.57612419128418
1554988130.43013,130,78.30712890625,7.71012830734253
1554988132.08688,131,78.6324768066406,7.63785457611084
1554988133.83202,132,78.73828125,7.96951150894165
1554988134.9978,133,79.017463684082,7.85603332519531
1554988136.61698,134,79.1651229858398,7.84214591979981
1554988138.22297,135,79.4390563964844,7.84854364395142
1554988139.69574,136,79.7154312133789,7.80564880371094
1554988141.43175,137,79.9031600952148,7.73745679855347
1554988143.00148,138,80.0541076660156,7.98500156402588
1554988144.56034,139,80.2189559936523,8.14886474609375
