Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
62,-952.937255859375,-990.618957519531,-1338.62524414063,-971.676330566406,-1124.98522949219,-539.610900878906,-1434.0009765625,-1118.55541992188,-659.748718261719,-875.346313476562,-1000.61053466797,274.68559931856,-1434.0009765625,-539.610900878906
63,-1153.20690917969,-912.607604980469,-1471.990234375,-1287.84643554688,-519.854797363281,-926.791870117187,-1461.59143066406,-1098.81469726563,-697.713745117188,-786.356628417969,-1031.67743530273,320.148550541197,-1471.990234375,-519.854797363281
64,-1148.31359863281,-690.977783203125,-1151.83557128906,-930.481506347656,-586.250061035156,-1080.47790527344,-1047.24060058594,-1056.4287109375,-995.356750488281,-1205.8349609375,-989.319744873047,202.679003760637,-1205.8349609375,-586.250061035156
65,-1202.78430175781,-1179.35693359375,-1211.95764160156,-821.294677734375,-525.225036621094,-1106.86120605469,-1263.04858398438,-1327.08984375,-752.974365234375,-1136.57409667969,-1052.71666870117,261.416780865801,-1327.08984375,-525.225036621094
66,-904.102783203125,-746.33740234375,-1402.91711425781,-827.95849609375,-1153.59826660156,-920.8212890625,-1286.83703613281,-1136.54431152344,-1076.10095214844,-1353.40686035156,-1080.86245117188,226.461525677364,-1402.91711425781,-746.33740234375
67,-1112.66418457031,-1181.89038085938,-1106.20153808594,-1206.74841308594,-770.574829101563,-1241.48547363281,-1214.95056152344,-1140.76867675781,-907.427917480469,-1221.80822753906,-1110.45202026367,153.674873922194,-1241.48547363281,-770.574829101563
68,-902.032836914063,-1082.62170410156,-947.099060058594,-771.052917480469,-975.841247558594,-1214.9541015625,-931.834838867188,-725.787780761719,-839.342651367187,-1144.4833984375,-953.505053710938,157.527903818163,-1214.9541015625,-725.787780761719
69,-1203.03088378906,-1172.46069335938,-1475.81762695313,-919.84814453125,-1002.69744873047,-668.326477050781,-778.675415039062,-655.996704101563,-780.27001953125,-1032.70153808594,-968.982495117188,262.648519878923,-1475.81762695313,-655.996704101563
70,-1028.25915527344,-879.523254394531,-1274.43395996094,-1041.33972167969,-712.788757324219,-1351.2900390625,-1127.03576660156,-1144.92858886719,-926.706604003906,-1258.04772949219,-1074.43535766602,197.745036817016,-1351.2900390625,-712.788757324219
71,-865.982116699219,-390.011383056641,-1416.43591308594,-893.6826171875,-794.530639648437,-1077.09704589844,-1217.3349609375,-1266.63623046875,-1079.5244140625,-1229.12707519531,-1023.03623962402,297.167518090748,-1416.43591308594,-390.011383056641
72,-1124.02783203125,-1047.26721191406,-790.189819335938,-792.286926269531,-905.982849121094,-1006.29010009766,-1184.43017578125,-959.412536621094,-1241.77014160156,-1339.46411132813,-1039.11217041016,184.906526775651,-1339.46411132813,-790.189819335938
73,-774.214782714844,-647.130981445313,-1439.73681640625,-1232.67651367188,-269.874389648437,-1146.77355957031,-1123.57263183594,-1283.5595703125,-1157.07922363281,-1338.3408203125,-1041.29592895508,364.447725554541,-1439.73681640625,-269.874389648437
74,-1020.54595947266,-862.303588867188,-1477.29174804688,-1227.01208496094,-1010.84185791016,-1523.59851074219,-903.945556640625,-996.689331054687,-334.223815917969,-1214.36779785156,-1057.08202514648,339.748698732216,-1523.59851074219,-334.223815917969
75,-1034.96057128906,-649.487487792969,-1078.74438476563,-891.284912109375,-807.34326171875,-1500.50134277344,-980.323303222656,-1170.125,-1073.10620117188,-1368.08679199219,-1055.39632568359,251.483086744402,-1500.50134277344,-649.487487792969
76,-1368.17297363281,-651.038269042969,-1202.72961425781,-903.932556152344,-934.299011230469,-1093.5654296875,-1132.6279296875,-1241.42529296875,-1047.53881835938,-1439.74609375,-1101.50759887695,233.142771648758,-1439.74609375,-651.038269042969
77,-1051.17834472656,-658.148559570313,-1307.16943359375,-1132.43505859375,-786.341918945313,-621.075378417969,-945.846801757813,-1048.05627441406,-1577.59448242188,-1234.49108886719,-1036.23373413086,298.388631149782,-1577.59448242188,-621.075378417969
78,-493.777130126953,-742.154479980469,-1075.73120117188,-802.103759765625,-667.276794433594,-908.2490234375,-629.128723144531,-1051.40100097656,-754.965148925781,-1304.2255859375,-842.901284790039,243.299039866721,-1304.2255859375,-493.777130126953
79,-946.116760253906,-824.653564453125,-999.339599609375,-1009.62878417969,-1155.22680664063,-838.815368652344,-816.963195800781,-913.170471191406,-908.186401367188,-791.069274902344,-920.317022705078,112.273786058409,-1155.22680664063,-791.069274902344
80,-1019.77764892578,-788.680053710938,-936.781311035156,-391.316802978516,-781.8544921875,-1073.16760253906,-1059.21667480469,-941.129516601563,-914.025390625,-1219.96411132813,-912.591360473633,225.788879312069,-1219.96411132813,-391.316802978516
81,-762.824584960937,-776.921691894531,-1064.966796875,-1083.90246582031,-924.632263183594,-976.391845703125,-837.056213378906,-692.967956542969,-1029.67858886719,-1328.63354492188,-947.797595214844,190.310660165764,-1328.63354492188,-692.967956542969
82,-375.5390625,-1163.21423339844,-1024.40832519531,-842.927734375,-571.669677734375,-917.709411621094,-1094.30651855469,-515.790100097656,-688.93798828125,-1350.732421875,-854.523547363281,313.33123901766,-1350.732421875,-375.5390625
83,-916.074890136719,-938.695983886719,-655.455322265625,-1192.69458007813,-931.583984375,-908.735412597656,-1032.41052246094,-906.300964355469,-259.134185791016,-1344.19177246094,-908.52776184082,293.09880725206,-1344.19177246094,-259.134185791016
84,-1039.88928222656,-813.971313476563,-412.068939208984,-659.388000488281,-794.065551757813,-670.055786132813,-1053.28527832031,-1096.44494628906,-8.72918605804443,-1249.29663085938,-779.719491481781,368.302719042752,-1249.29663085938,-8.72918605804443
85,-1038.54113769531,-943.870849609375,-934.222778320313,-559.0537109375,-1094.888671875,-996.700256347656,-539.845031738281,-688.32666015625,-951.1689453125,-1309.75708007813,-905.637512207031,242.804200272021,-1309.75708007813,-539.845031738281
