Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
37,-661.609436035156,-123.613563537598,-915.187927246094,-878.076477050781,-796.223999023438,-627.811340332031,-758.114929199219,-505.6181640625,-1033.87487792969,-1121.00524902344,-742.113596343994,286.419746915691,-1121.00524902344,-123.613563537598
38,-779.953491210938,-124.5009765625,-843.174743652344,-762.528076171875,-840.664184570313,-776.028259277344,-638.266479492188,-635.446044921875,-924.374938964844,-1165.17626953125,-749.011346435547,266.303368806732,-1165.17626953125,-124.5009765625
39,-774.693664550781,-781.485534667969,-629.633178710938,-636.314208984375,-627.511962890625,-906.043884277344,-380.482391357422,-630.264953613281,-953.145629882813,-755.877380371094,-707.545278930664,164.15614562684,-953.145629882813,-380.482391357422
40,-747.851318359375,-497.868560791016,-885.859924316406,-503.634094238281,-569.155334472656,-125.971015930176,-253.372756958008,-646.050476074219,-1025.58410644531,-906.151123046875,-616.149871063232,287.413996582245,-1025.58410644531,-125.971015930176
41,-711.328857421875,-125.254776000977,-767.540100097656,-776.327819824219,-662.386352539063,-766.169555664063,-253.041519165039,-331.624298095703,-506.605194091797,-1139.03393554688,-603.931240844727,301.841392731362,-1139.03393554688,-125.254776000977
42,-881.576721191406,-645.866821289063,-888.153198242187,-889.835266113281,-629.801940917969,-378.671844482422,-248.100189208984,-256.967620849609,-909.443664550781,-952.670043945312,-668.108731079102,281.572668610273,-952.670043945312,-248.100189208984
43,-297.180267333984,-707.038940429688,-627.131164550781,-378.477386474609,-506.630096435547,-637.182189941406,-1540.73693847656,-642.763793945313,-755.886535644531,-924.896911621094,-701.792422485352,345.787719032352,-1540.73693847656,-297.180267333984
44,-498.272125244141,-4.33148431777954,-274.700347900391,-501.404602050781,-619.922058105469,-487.113739013672,-631.23095703125,-626.827392578125,-521.220092773438,-960.133544921875,-512.515634393692,248.308284401959,-960.133544921875,-4.33148431777954
45,-613.349548339844,-246.005462646484,-618.213256835938,-247.950668334961,-381.349731445312,-370.665496826172,-959.606018066406,-4.00605058670044,-759.069641113281,-1036.41796875,-523.66338429451,332.027330370617,-1036.41796875,-4.00605058670044
46,-383.147552490234,-660.448791503906,-628.856323242188,-620.790588378906,-844.38623046875,-246.900573730469,-640.8583984375,-239.318664550781,-765.961303710938,-822.587219238281,-585.325564575195,221.87160431897,-844.38623046875,-239.318664550781
47,-608.099853515625,-474.073638916016,-386.748443603516,-260.908020019531,-4.96092367172241,-819.903686523437,-384.959350585937,-363.489715576172,-396.282073974609,-768.944946289063,-446.837065267563,239.547240755107,-819.903686523437,-4.96092367172241
48,-631.644958496094,-125.684791564941,-700.166809082031,-497.538635253906,-769.946655273438,-365.55615234375,-128.97607421875,-129.575134277344,-865.624206542969,-882.737182617188,-509.745059967041,305.969117737528,-882.737182617188,-125.684791564941
49,-369.681671142578,-128.544143676758,-902.3037109375,-560.489318847656,-460.752868652344,-252.079483032227,-653.76953125,-245.854141235352,-751.47900390625,-654.575500488281,-497.952937316895,249.177096767877,-902.3037109375,-128.544143676758
50,-367.282928466797,-241.145584106445,-626.465209960938,-488.395324707031,-624.552673339844,-252.108657836914,-251.305953979492,-339.457611083984,-382.186340332031,-916.256103515625,-448.91563873291,217.660975704368,-916.256103515625,-241.145584106445
51,-128.576599121094,-473.376953125,-578.829772949219,-252.283706665039,-536.06005859375,-474.352416992187,-902.537353515625,-861.729858398438,-756.758972167969,-759.481506347656,-572.398719787598,254.279950243124,-902.537353515625,-128.576599121094
52,-369.468231201172,-128.110305786133,-530.990112304688,-254.037063598633,-495.390197753906,-244.679977416992,-995.260070800781,-386.512725830078,-679.673400878906,-638.927124023438,-472.304920959473,254.751121805605,-995.260070800781,-128.110305786133
53,-362.492614746094,-243.769744873047,-630.087219238281,-256.0546875,-596.122131347656,-351.359771728516,-243.666915893555,-2.98511290550232,-802.461975097656,-839.812255859375,-432.881242918968,272.226293617265,-839.812255859375,-2.98511290550232
54,-2.08116245269775,-124.909080505371,-720.212890625,-130.614639282227,-368.263763427734,-483.426910400391,-641.891784667969,-255.577850341797,-505.361083984375,-639.599365234375,-387.193853092194,250.183189305617,-720.212890625,-2.08116245269775
55,-128.936141967773,-608.911376953125,-136.152877807617,-127.677536010742,-499.711975097656,-124.516487121582,-374.080963134766,-127.312866210938,-502.623718261719,-752.527404785156,-338.245134735107,240.006639936283,-752.527404785156,-124.516487121582
56,-252.972640991211,-124.042984008789,-759.021545410156,-130.385314941406,-131.049896240234,-128.264343261719,-2.04548096656799,-126.906181335449,-618.672546386719,-770.907165527344,-304.42680990696,292.97853301039,-770.907165527344,-2.04548096656799
57,-383.360229492187,-380.148498535156,-939.000610351562,-493.477600097656,-371.958587646484,-122.722541809082,-129.995147705078,-495.832244873047,-506.218505859375,-424.695678710938,-424.740964508057,227.414776976696,-939.000610351562,-122.722541809082
58,-3.8038387298584,-590.710021972656,-744.168518066406,-130.335586547852,-365.754089355469,-242.661071777344,-379.12353515625,-124.744087219238,-636.789794921875,-647.772033691406,-386.586257743835,258.69408000729,-744.168518066406,-3.8038387298584
59,-665.384399414063,-247.165603637695,-784.511901855469,-247.375732421875,-374.782379150391,-594.694152832031,-123.937408447266,-128.871856689453,-6.60998868942261,-506.041015625,-367.937443876266,260.109782576092,-784.511901855469,-6.60998868942261
60,-239.797897338867,-603.368957519531,-379.817993164062,-125.368072509766,-249.635360717773,-366.753967285156,-128.989868164063,-380.319091796875,-619.409973144531,-504.638305664063,-359.809948730469,177.432246172633,-619.409973144531,-125.368072509766
61,-636.756042480469,-239.510009765625,-130.424880981445,-244.861404418945,-1.22040438652039,-356.492095947266,-128.158615112305,-544.336242675781,-501.98291015625,-779.421691894531,-356.316429781914,251.545616252659,-779.421691894531,-1.22040438652039
62,-254.933776855469,-469.499877929688,-515.463256835938,-2.82764959335327,-133.325378417969,-358.025787353516,-123.755088806152,-3.12246441841125,-622.324401855469,-628.311767578125,-311.158944964409,241.817050117107,-628.311767578125,-2.82764959335327
63,-252.581024169922,-2.90073442459106,-255.953521728516,-368.348907470703,-361.728240966797,-478.642059326172,-1027.14611816406,-254.307006835938,-128.125198364258,-385.523956298828,-351.525676774979,273.655750293933,-1027.14611816406,-2.90073442459106
64,-246.623519897461,-124.556045532227,-501.835784912109,-253.944183349609,-124.5830078125,-125.837547302246,-126.944808959961,-124.575569152832,-371.512329101562,-242.791580200195,-224.32043762207,128.852550597781,-501.835784912109,-124.556045532227
65,-376.651092529297,-123.284057617188,-250.432708740234,-254.427307128906,-4.17965698242188,-240.625854492187,-491.644378662109,-376.577239990234,-255.711166381836,-377.880615234375,-275.141407775879,140.282137126322,-491.644378662109,-4.17965698242188
66,-1.86874997615814,-118.325546264648,-129.120223999023,-126.79273223877,-382.838897705078,-124.354667663574,-125.471626281738,-128.447311401367,-127.096565246582,-590.234741210938,-185.455106198788,170.495690584509,-590.234741210938,-1.86874997615814
67,-3.58705258369446,-237.272506713867,-139.352828979492,-257.066772460937,-122.728256225586,-126.901374816895,-374.589111328125,-1.01542985439301,-365.808319091797,-635.423706054688,-226.374535810947,193.913660903044,-635.423706054688,-1.01542985439301
68,-128.695022583008,-246.749786376953,-9.01772403717041,-246.689834594727,-7.44121408462524,-367.866577148438,-386.491455078125,-253.822341918945,-497.693542480469,-489.0634765625,-263.353097486496,176.667007196628,-497.693542480469,-7.44121408462524
69,-2.27013945579529,-246.142028808594,-251.744873046875,-252.397811889648,-372.371551513672,-120.024482727051,-252.333038330078,-244.508758544922,-2.49322748184204,-2.03662705421448,-174.632253885269,133.016396467351,-372.371551513672,-2.03662705421448
70,-128.845352172852,-121.482086181641,-136.642288208008,-253.882736206055,-539.997863769531,-128.484939575195,-250.124557495117,-123.788475036621,-609.460266113281,-257.298065185547,-255.000662994385,178.84483129873,-609.460266113281,-121.482086181641
71,-246.366653442383,-1.88108265399933,-135.458480834961,-243.421875,-368.408081054688,-124.688758850098,-516.255493164063,-1.70172595977783,-358.831878662109,-253.418380737305,-225.043241035938,164.193076049161,-516.255493164063,-1.70172595977783
72,-253.547134399414,-119.786064147949,-650.600952148438,-9.02410507202148,-372.914245605469,-747.047607421875,-255.601531982422,-121.999473571777,-131.035614013672,-625.558044433594,-328.711477279663,259.773385667531,-747.047607421875,-9.02410507202148
73,-251.737548828125,-125.80012512207,-363.298126220703,-2.92341756820679,-479.822143554688,-493.327484130859,-4.16880702972412,-250.104110717773,-124.588066101074,-257.958679199219,-235.372850847244,174.935975043624,-493.327484130859,-2.92341756820679
74,-252.155075073242,-127.285102844238,-368.995697021484,-126.180107116699,-130.066070556641,-254.168243408203,-365.049468994141,-234.33154296875,-497.604217529297,-666.894470214844,-302.272999572754,176.453493291471,-666.894470214844,-126.180107116699
75,-243.961349487305,-317.017486572266,-140.807022094727,-244.034912109375,-364.080200195312,-630.027099609375,-128.651123046875,-237.88053894043,-376.874786376953,-613.396911621094,-329.673143005371,174.314609231101,-630.027099609375,-128.651123046875
76,-118.442024230957,-248.464065551758,-256.733703613281,-245.496002197266,-245.979309082031,-121.162887573242,-950.083312988281,-362.886138916016,-128.940444946289,-469.281646728516,-314.746953582764,248.924075506493,-950.083312988281,-118.442024230957
77,-236.405517578125,-239.804656982422,-12.5031604766846,-127.903968811035,-246.325576782227,-259.437835693359,-120.206512451172,-125.131462097168,-607.103820800781,-881.969543457031,-285.679205513,262.111215901291,-881.969543457031,-12.5031604766846
78,-372.900604248047,-119.847518920898,-133.444412231445,-123.841125488281,-459.874481201172,-358.409088134766,-651.089721679687,-123.765098571777,-121.563606262207,-492.833587646484,-295.756924438477,196.830619265516,-651.089721679687,-119.847518920898
79,-251.85871887207,-121.316390991211,-379.111053466797,-127.57438659668,-123.10521697998,-475.249237060547,-1042.04345703125,-369.994842529297,-377.214202880859,-255.615844726562,-352.308335113525,272.506220644828,-1042.04345703125,-121.316390991211
80,-125.02693939209,-238.462036132813,-125.196250915527,-13.4901752471924,-126.742782592773,-128.747634887695,-127.297286987305,-240.757446289062,-123.715423583984,-502.769927978516,-175.220590400696,131.749320671561,-502.769927978516,-13.4901752471924
81,-480.886535644531,-241.805221557617,-251.738784790039,-131.798080444336,-248.362091064453,-239.24446105957,-513.900024414063,-246.534851074219,-249.615737915039,-454.575134277344,-305.846092224121,128.143726363164,-513.900024414063,-131.798080444336
82,-248.324996948242,-7.40759944915772,-642.581359863281,-134.2138671875,-477.332000732422,-360.010528564453,-257.498352050781,-239.747772216797,-614.78173828125,-380.560943603516,-336.24591588974,201.674164052255,-642.581359863281,-7.40759944915772
83,-246.272827148437,-369.609954833984,-463.745025634766,-550.867370605469,-377.165344238281,-354.991271972656,-127.163879394531,-121.856452941895,-0.587782144546509,-613.946716308594,-322.620662522316,197.528697608672,-613.946716308594,-0.587782144546509
84,-235.667373657227,-123.864387512207,-128.509780883789,-384.223968505859,-475.355285644531,-122.673233032227,-369.398559570313,-1.46531307697296,-1.39308404922485,-126.949295043945,-196.95002809763,163.543422852234,-475.355285644531,-1.39308404922485
85,-127.496871948242,-1.11746418476105,-368.801879882812,-132.694183349609,-128.86296081543,-352.547332763672,-3.48047709465027,-352.798004150391,-122.545051574707,-250.969802856445,-184.131402862072,139.129236625766,-368.801879882812,-1.11746418476105
86,-872.785888671875,-359.262176513672,-382.462097167969,-135.277114868164,-377.584014892578,-471.337188720703,-494.786804199219,-3.51169323921204,-0.774694800376892,-381.398559570312,-347.918023264408,258.188641664298,-872.785888671875,-0.774694800376892
87,-350.636932373047,-4.69954252243042,-257.547424316406,-383.884399414063,-360.081634521484,-506.185760498047,-237.474960327148,-246.275619506836,-249.496475219727,-478.80224609375,-307.508499479294,143.558120873021,-506.185760498047,-4.69954252243042
88,-362.169738769531,-361.453643798828,-250.833343505859,-127.435165405273,-829.87890625,-385.509979248047,-127.357757568359,-237.193725585937,-251.915603637695,-126.645858764648,-306.039372253418,209.143815513117,-829.87890625,-126.645858764648
89,-253.900161743164,-127.898727416992,-503.896942138672,-125.279731750488,-126.746810913086,-241.595138549805,-474.023468017578,-128.783798217773,-120.431205749512,-2.78686213493347,-210.5342846632,162.416333260133,-503.896942138672,-2.78686213493347
90,-246.843200683594,-362.426788330078,-260.511749267578,-127.773567199707,-371.450988769531,-487.605010986328,-126.861419677734,-1.43884301185608,-394.133270263672,-622.674133300781,-300.171897149086,185.693895401028,-622.674133300781,-1.43884301185608
91,-127.937088012695,-127.089637756348,-362.050445556641,-362.421478271484,-6.18959188461304,-580.185241699219,-128.877227783203,-127.425033569336,-125.094352722168,-637.761291503906,-258.503138875961,215.663978923342,-637.761291503906,-6.18959188461304
92,-126.333976745605,-606.052917480469,-497.22705078125,-611.463500976562,-131.91633605957,-245.911727905273,-122.201095581055,-3.05041003227234,-124.196472167969,-391.009613037109,-285.936310076714,223.088727467827,-611.463500976562,-3.05041003227234
93,-511.815124511719,-247.600967407227,-130.454833984375,-132.100616455078,-126.328155517578,-360.325744628906,-473.389831542969,-127.470764160156,-262.135833740234,-126.0869140625,-249.770878601074,150.786220272762,-511.815124511719,-126.0869140625
94,-1.92543828487396,-383.697143554688,-635.811706542969,-373.037292480469,-250.243530273437,-120.551116943359,-242.412643432617,-384.674560546875,-129.376678466797,-381.041595458984,-290.277170598507,180.694961254554,-635.811706542969,-1.92543828487396
95,-414.488128662109,-132.420364379883,-133.02311706543,-129.183853149414,-128.937866210938,-354.060638427734,-373.168853759766,-364.1943359375,-515.960144042969,-375.438903808594,-292.087620544434,145.912095319834,-515.960144042969,-128.937866210938
96,-3.03495693206787,-125.851486206055,-131.121871948242,-125.65641784668,-378.179565429688,-364.846221923828,-371.806030273437,-122.49047088623,-606.1396484375,-370.666687011719,-259.979335689545,184.725921170869,-606.1396484375,-3.03495693206787
97,-124.646446228027,-246.610885620117,-376.581726074219,-242.647613525391,-491.329010009766,-126.93871307373,-463.622222900391,-121.818725585938,-130.326324462891,-251.466384887695,-257.598805236816,141.812542789899,-491.329010009766,-121.818725585938
98,-259.400573730469,-243.038528442383,-127.468849182129,-128.431457519531,-631.403930664063,-127.156234741211,-127.276947021484,-123.775619506836,-376.213562011719,-502.690521240234,-264.685622406006,182.302680230288,-631.403930664063,-123.775619506836
99,-2.20366358757019,-237.790435791016,-446.137145996094,-2.00044369697571,-484.744140625,-339.074981689453,-128.888168334961,-126.128280639648,-3.69918608665466,-126.538650512695,-189.720509696007,180.784625252565,-484.744140625,-2.00044369697571
