Wall time,Step,Value,Min,Max,Error
1555179595.77172,129,75.7742385864258,58.7107658386231,90.7067642211914,8.57948684692383
1555179601.60095,130,76.2049865722656,58.6066093444824,90.7225189208984,8.53479671478272
1555179602.62028,131,77.0199279785156,59.4882202148438,91.5445709228516,8.39233875274658
1555179603.51968,132,77.484375,59.4845771789551,91.5685729980469,8.36679553985596
1555179604.52166,133,77.9555358886719,60.3331565856934,91.5701751708984,8.21620082855225
1555179605.92016,134,78.2318649291992,58.692756652832,91.6927719116211,8.39238929748535
1555179606.99492,135,78.8394393920899,59.5555076599121,91.7046737670898,8.08330726623535
1555179608.00296,136,79.4512329101562,59.233585357666,91.7161865234375,8.10909461975098
1555179609.03578,137,79.9566802978516,60.1511039733887,91.8131256103516,7.93444108963013
1555179610.06655,138,80.3414535522461,59.6930656433105,92.0005645751953,7.96848773956299
1555179611.37061,139,80.788330078125,60.6651611328125,92.0266189575195,7.74867010116577
1555179616.71784,140,81.426155090332,61.8273429870605,92.1033401489258,7.55931186676025
1555179617.6964,141,81.8072128295898,61.6610641479492,92.0969848632813,7.58083391189575
1555179618.63376,142,82.2464065551758,61.2705268859863,92.0962142944336,7.59867382049561
1555179619.58374,143,82.6261901855469,62.3668785095215,92.0701217651367,7.45081520080566
1555179620.69952,144,82.9776763916016,62.1280632019043,92.0405197143555,7.40491914749146
1555179621.60523,145,83.307746887207,62.136302947998,92.0343856811524,7.39426279067993
1555179622.69063,146,83.5502319335938,63.0907096862793,92.1062774658203,7.20926570892334
1555179623.56102,147,83.8101959228516,62.9625701904297,92.0905685424805,7.21375942230225
1555179624.55792,148,84.1212310791016,62.9076347351074,92.076530456543,7.1694712638855
1555179625.58224,149,84.4111785888672,64.0862426757812,92.2411041259766,7.01461458206177
1555179630.79567,150,84.7304611206055,63.9920921325684,92.2718505859375,6.8466796875
1555179631.8635,151,84.9817581176758,63.788257598877,92.2999038696289,6.87931156158447
1555179632.80038,152,85.24072265625,63.569709777832,92.3607025146484,6.8384895324707
1555179633.85792,153,85.4630432128906,63.3278465270996,92.418830871582,6.78165483474731
1555179634.72679,154,85.6333770751953,63.2639656066895,92.5355072021484,6.76538944244385
1555179635.83035,155,85.8831100463867,63.2831611633301,92.5702896118164,6.73945188522339
1555179636.66883,156,86.2179260253906,63.2993583679199,92.5802383422852,6.62060165405273
1555179637.63974,157,86.3674545288086,63.3258972167969,92.5864486694336,6.54297208786011
1555179638.69885,158,86.4497985839844,63.213996887207,92.6262817382812,6.56573247909546
1555179639.66315,159,86.5187454223633,63.0805358886719,92.6137237548828,6.57160568237305
1555179644.93392,160,86.6859664916992,63.0474548339844,92.5936050415039,6.60519313812256
1555179646.00212,161,86.833869934082,62.9144897460938,92.6111755371094,6.66035890579224
1555179646.86023,162,86.9706573486328,62.8855743408203,92.7350616455078,6.66310596466064
1555179647.73305,163,87.0185852050781,62.8318595886231,92.7611923217773,6.69279479980469
1555179648.61399,164,87.1029815673828,62.9427185058594,92.9484939575195,6.61238241195679
1555179649.52985,165,87.19921875,63.0601539611816,92.9846649169922,6.60089111328125
1555179650.46299,166,87.336051940918,63.065055847168,92.984992980957,6.52742052078247
1555179651.34453,167,87.5148162841797,63.2107162475586,93.1137008666992,6.52231359481812
1555179652.21408,168,87.6426696777344,64.5320129394531,93.1037979125977,6.2655029296875
1555179653.21909,169,87.6862030029297,64.7812118530274,93.0870742797852,6.2298378944397
1555179658.40094,170,87.7700805664063,64.755859375,93.0615692138672,6.25438642501831
1555179659.24553,171,87.8083953857422,64.7627487182617,93.0340270996094,6.26049375534058
1555179660.06638,172,87.8773498535156,64.7674789428711,93.0190734863281,6.25759029388428
1555179661.11658,173,87.8995971679688,64.6600723266602,93.0288391113281,6.26919031143189
1555179662.17972,174,87.9430694580078,64.7773666381836,93.0138397216797,6.27395820617676
1555179663.1049,175,88.1045074462891,66.0863723754883,92.9946670532227,6.05627822875977
1555179664.14296,176,88.1400604248047,66.151969909668,92.9583053588867,6.05762815475464
1555179665.27845,177,88.1418685913086,66.214469909668,92.9614105224609,6.07512331008911
1555179666.32002,178,88.1785430908203,66.3478469848633,92.9634323120117,6.05638647079468
1555179667.15338,179,88.2012329101562,66.533561706543,92.9528198242187,6.02547740936279
1555179671.77672,180,88.2643737792969,66.6484756469727,92.9417495727539,6.00914525985718
1555179672.62185,181,88.3225326538086,66.8894729614258,92.9322967529297,5.95172786712647
1555179673.46599,182,88.3376235961914,66.843391418457,92.9132995605469,5.96179008483887
1555179674.278,183,88.3874969482422,67.126838684082,92.9330749511719,5.89852428436279
1555179675.1734,184,88.4059143066406,67.0888137817383,92.9090423583984,5.90089130401611
1555179676.01332,185,88.4391937255859,67.4053726196289,92.909797668457,5.84317350387573
1555179676.92911,186,88.4842376708984,67.6676330566406,92.8989410400391,5.77018070220947
1555179677.86517,187,88.519172668457,67.8935012817383,92.8938293457031,5.71293020248413
1555179678.7957,188,88.5312271118164,68.065559387207,92.885627746582,5.68696975708008
1555179679.62543,189,88.5628051757812,68.2692108154297,92.8672180175781,5.61726522445679
1555179684.21109,190,88.5636596679688,68.2998733520508,92.8681106567383,5.60189914703369
1555179685.1741,191,88.6364593505859,68.4068222045898,92.8423690795898,5.48582887649536
1555179686.30879,192,88.5901412963867,68.7848281860352,92.8458557128906,5.47269582748413
1555179687.206,193,88.605339050293,69.111083984375,92.7842712402344,5.39185905456543
1555179688.18877,194,88.6203308105469,69.4716720581055,92.7632904052734,5.32995462417603
1555179689.00733,195,88.6451568603516,69.9242401123047,92.7551116943359,5.23603916168213
1555179689.78396,196,88.6678466796875,70.0677947998047,92.7433395385742,5.20016384124756
1555179690.93334,197,88.6601028442383,70.3459548950195,92.7324981689453,5.16420555114746
1555179691.92659,198,88.6694107055664,70.6142730712891,92.7316970825195,5.12804412841797
1555179692.95009,199,88.6556167602539,70.6546325683594,92.6468048095703,5.13928556442261
1555179697.73475,200,88.6599655151367,70.7082901000977,92.5765609741211,5.12279272079468
1555179698.5267,201,88.6798324584961,70.7866363525391,92.5795745849609,5.10259866714478
1555179699.32696,202,88.7163162231445,71.1888198852539,92.5492935180664,5.02777767181397
1555179700.119,203,88.7337036132812,71.519401550293,92.5243759155273,4.96835231781006
1555179701.05969,204,88.7181091308594,71.5905609130859,92.4998092651367,4.98540306091309
1555179701.8888,205,88.7326202392578,71.9135589599609,92.4743118286133,4.92270088195801
1555179702.68689,206,88.7952117919922,72.4102554321289,92.5119857788086,4.81775760650635
1555179703.5315,207,88.8166961669922,72.5285873413086,92.4744491577149,4.79775953292847
1555179704.35041,208,88.8226318359375,72.7291946411133,92.4601211547852,4.76092004776001
1555179705.11138,209,88.8434371948242,73.0267639160156,92.4290924072266,4.6921067237854
1555179709.64014,210,88.8645935058594,73.2800979614258,92.4053649902344,4.64293718338013
1555179710.50468,211,88.8628997802734,73.4355773925781,92.4040222167969,4.62692975997925
1555179711.42893,212,88.8959197998047,73.8748931884766,92.385986328125,4.55935144424439
1555179712.22149,213,88.9154663085938,74.015625,92.3176956176758,4.52371025085449
1555179712.98749,214,88.9597702026367,74.5867385864258,92.3053665161133,4.44580841064453
1555179713.74434,215,88.9893798828125,75.0449371337891,92.3042984008789,4.36125612258911
1555179714.51908,216,89.0308990478516,75.374397277832,92.3020782470703,4.28787040710449
1555179715.31238,217,89.0671920776367,75.6570053100586,92.2909698486328,4.22350072860718
1555179716.26187,218,89.0539932250977,75.9223785400391,92.2175674438477,4.16434192657471
1555179717.10665,219,89.0719528198242,76.133056640625,92.1259994506836,4.12639856338501
1555179722.08452,220,89.0617828369141,76.2723846435547,92.0026473999024,4.0944766998291
1555179723.03139,221,89.1296844482422,77.9336624145508,91.9190063476563,3.82986927032471
1555179723.82854,222,89.1512069702148,78.0574493408203,91.9003372192383,3.78973031044006
1555179724.61798,223,89.1998138427734,78.5877380371094,91.8955917358398,3.67441010475159
1555179725.36668,224,89.3063430786133,80.3446197509766,91.8959732055664,3.42382955551147
1555179726.21231,225,89.3252258300781,80.2651824951172,91.8855285644531,3.41154623031616
1555179726.98907,226,89.3660888671875,80.2352600097656,91.8499984741211,3.32538437843323
1555179728.14892,227,89.3035049438477,80.1862335205078,91.8866195678711,3.33962154388428
1555179729.05335,228,89.3169555664062,80.2563171386719,91.8713455200195,3.28511548042297
1555179730.037,229,89.3958740234375,80.0290756225586,91.8842620849609,3.12754130363464
1555179735.49683,230,89.4204025268555,80.3089370727539,91.9554595947266,3.06159782409668
1555179736.36966,231,89.4284439086914,80.2242965698242,91.9806137084961,3.03554511070251
1555179737.27483,232,89.4169158935547,80.2424163818359,92.0390930175781,3.03433036804199
1555179738.17519,233,89.424446105957,80.210578918457,92.0377807617188,2.99654769897461
1555179739.12985,234,89.5287475585937,80.137451171875,92.0333938598633,2.87049174308777
1555179739.80306,235,89.5628204345703,80.1787185668945,92.0637283325195,2.8380868434906
1555179740.63095,236,89.5763397216797,80.2355270385742,92.0945739746094,2.80318427085876
1555179741.63104,237,89.572639465332,80.142333984375,92.1408996582031,2.78646922111511
1555179742.3521,238,89.5991897583008,80.1328201293945,92.2185668945312,2.75794124603271
1555179743.14797,239,89.6407241821289,80.0505676269531,92.2179489135742,2.72904682159424
