Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
47,-1006.24255371094,-821.915954589844,-1054.02465820313,-1001.86822509766,-973.981079101563,-776.967712402344,-776.967712402344,-940.578491210938,-1174.89343261719,-1125.35046386719,-965.279028320312,138.489769401354,-1174.89343261719,-776.967712402344
48,-998.4384765625,-807.4111328125,-1046.65258789063,-991.361389160156,-969.730346679688,-768.396606445313,-768.396606445313,-923.682556152344,-1168.45043945313,-1120.29602050781,-956.281616210937,140.276940341637,-1168.45043945313,-768.396606445313
49,-985.606689453125,-793.556701660156,-1043.70666503906,-982.568054199219,-959.343078613281,-757.859558105469,-757.859558105469,-909.849365234375,-1159.94079589844,-1110.79150390625,-946.108197021484,141.773218273215,-1159.94079589844,-757.859558105469
50,-973.240234375,-782.508483886719,-1035.36181640625,-972.684631347656,-952.647277832031,-747.744506835938,-747.744506835938,-898.441528320313,-1144.38562011719,-1106.90087890625,-936.165948486328,141.956349735596,-1144.38562011719,-747.744506835938
51,-956.678161621094,-776.447082519531,-1026.41027832031,-958.55908203125,-944.478881835938,-742.383911132812,-742.383911132812,-897.7216796875,-1136.78515625,-1100.08874511719,-928.193688964844,140.518706448204,-1136.78515625,-742.383911132812
52,-945.385681152344,-763.979064941406,-1016.88293457031,-945.010620117188,-935.842529296875,-732.812683105469,-732.812683105469,-887.890747070312,-1127.99450683594,-1091.22021484375,-917.983166503906,140.987143959163,-1127.99450683594,-732.812683105469
53,-934.3876953125,-754.163818359375,-1009.58489990234,-932.011413574219,-929.432739257813,-725.615417480469,-725.615417480469,-871.194396972656,-1121.85241699219,-1086.47668457031,-909.033489990234,141.882701904164,-1121.85241699219,-725.615417480469
54,-917.122741699219,-742.510925292969,-1004.22613525391,-917.170776367188,-919.040710449219,-721.130493164063,-721.130493164063,-859.794067382813,-1110.43591308594,-1078.201171875,-899.076342773438,140.732996264044,-1110.43591308594,-721.130493164063
55,-902.792114257812,-740.081848144531,-988.442993164063,-902.816345214844,-911.416564941406,-710.282958984375,-710.282958984375,-846.476257324219,-1099.384765625,-1072.27978515625,-888.425659179688,140.034480597614,-1099.384765625,-710.282958984375
56,-891.188171386719,-729.081176757813,-984.34619140625,-889.02294921875,-897.4814453125,-699.889770507813,-699.889770507813,-833.626770019531,-1090.80065917969,-1066.89819335938,-878.222509765625,141.634479661999,-1090.80065917969,-699.889770507813
57,-882.278930664062,-722.959533691406,-983.550659179688,-882.083557128906,-888.26171875,-689.764038085938,-689.764038085938,-827.700561523437,-1080.54479980469,-1055.63146972656,-870.253930664063,141.692814329944,-1080.54479980469,-689.764038085938
58,-867.1328125,-720.679382324219,-979.423400878906,-869.122375488281,-879.252990722656,-682.055358886719,-682.055358886719,-815.580627441406,-1072.89379882813,-1048.59936523438,-861.679547119141,141.556391672057,-1072.89379882813,-682.055358886719
59,-863.713317871094,-712.653686523437,-976.119812011719,-858.584289550781,-870.70263671875,-680.574645996094,-680.574645996094,-803.941467285156,-1054.8212890625,-1039.40344238281,-854.108923339844,138.503286207627,-1054.8212890625,-680.574645996094
60,-853.314758300781,-710.832275390625,-966.181457519531,-846.364013671875,-860.351501464844,-675.344299316406,-675.344299316406,-796.881103515625,-1047.564453125,-1030.49072265625,-846.266888427734,136.746824401795,-1047.564453125,-675.344299316406
61,-849.764587402344,-703.105712890625,-952.480529785156,-836.503295898438,-846.267395019531,-670.1171875,-670.1171875,-792.741027832031,-1038.62048339844,-1026.37487792969,-838.609228515625,135.670708081773,-1038.62048339844,-670.1171875
62,-840.170532226563,-699.337890625,-945.431823730469,-823.056945800781,-834.768310546875,-665.08349609375,-665.08349609375,-780.005249023438,-1031.90600585938,-1019.95446777344,-830.479821777344,135.11817447259,-1031.90600585938,-665.08349609375
63,-830.84375,-688.283325195313,-934.487731933594,-815.83935546875,-827.259765625,-662.124084472656,-662.124084472656,-771.660827636719,-1017.56024169922,-1009.88415527344,-822.006732177734,132.445536829546,-1017.56024169922,-662.124084472656
64,-821.715270996094,-679.475036621094,-927.7275390625,-807.059753417969,-816.280456542969,-653.74462890625,-653.74462890625,-761.550109863281,-1007.46575927734,-997.898315429688,-812.666149902344,131.861952055282,-1007.46575927734,-653.74462890625
65,-814.8681640625,-670.918273925781,-917.3076171875,-798.557678222656,-803.786560058594,-647.388916015625,-647.388916015625,-755.627502441406,-995.900329589844,-988.359619140625,-804.010357666016,130.343695115713,-995.900329589844,-647.388916015625
66,-802.549987792969,-662.545654296875,-905.365417480469,-788.379455566406,-797.408569335938,-639.464172363281,-639.464172363281,-746.124755859375,-982.736633300781,-982.327392578125,-794.63662109375,129.50253798449,-982.736633300781,-639.464172363281
67,-790.625183105469,-656.198303222656,-893.932373046875,-780.449401855469,-787.338745117188,-631.81396484375,-631.81396484375,-735.003723144531,-973.528747558594,-977.149719238281,-785.785412597656,129.273157955712,-977.149719238281,-631.81396484375
68,-780.890869140625,-650.177001953125,-880.9189453125,-772.599975585938,-775.86962890625,-627.932434082031,-627.932434082031,-727.927490234375,-966.531127929687,-969.971984863281,-778.075189208984,127.766306441322,-969.971984863281,-627.932434082031
