Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
41,-1312.56665039063,-1186.60815429688,-1246.46533203125,-1248.49011230469,-1195.39733886719,-1183.38049316406,-1304.60827636719,-1288.76831054688,-1271.64111328125,-1249.4267578125,-1248.73525390625,47.4987848843367,-1312.56665039063,-1183.38049316406
42,-1313.966796875,-1186.03698730469,-1227.65747070313,-1237.67468261719,-1198.63903808594,-1189.34423828125,-1311.1474609375,-1276.62219238281,-1262.95568847656,-1245.12158203125,-1244.91661376953,46.5858631088463,-1313.966796875,-1186.03698730469
43,-1307.30712890625,-1188.76623535156,-1229.22924804688,-1229.14904785156,-1180.51928710938,-1196.69641113281,-1316.67700195313,-1263.10412597656,-1251.58056640625,-1244.99291992188,-1240.80219726563,46.3894424595119,-1316.67700195313,-1180.51928710938
44,-1309.39306640625,-1192.34997558594,-1235.4384765625,-1230.3203125,-1177.69189453125,-1195.52197265625,-1318.35949707031,-1251.91687011719,-1250.1943359375,-1243.74438476563,-1240.49307861328,46.4982167798829,-1318.35949707031,-1177.69189453125
45,-1312.04565429688,-1191.31384277344,-1225.82336425781,-1220.9228515625,-1178.26257324219,-1201.16857910156,-1319.42053222656,-1259.76977539063,-1242.84692382813,-1236.69299316406,-1238.82670898438,47.3156798338612,-1319.42053222656,-1178.26257324219
46,-1306.91613769531,-1198.63916015625,-1231.02844238281,-1219.35534667969,-1177.57580566406,-1189.49633789063,-1324.65808105469,-1260.07165527344,-1233.48999023438,-1237.76037597656,-1237.89913330078,47.9764998094499,-1324.65808105469,-1177.57580566406
47,-1301.97888183594,-1199.06994628906,-1230.77380371094,-1216.57727050781,-1179.67346191406,-1175.63256835938,-1324.99328613281,-1250.55444335938,-1232.52709960938,-1239.07629394531,-1235.08570556641,48.4003042188442,-1324.99328613281,-1175.63256835938
48,-1291.01599121094,-1191.9833984375,-1219.98669433594,-1213.64831542969,-1171.80810546875,-1166.90600585938,-1329.58996582031,-1253.748046875,-1232.037109375,-1235.40063476563,-1230.61242675781,51.0062117892257,-1329.58996582031,-1166.90600585938
49,-1285.67028808594,-1192.07153320313,-1227.51733398438,-1205.1455078125,-1160.05322265625,-1170.142578125,-1326.08251953125,-1250.9736328125,-1227.150390625,-1228.59594726563,-1227.34029541016,50.8245531010791,-1326.08251953125,-1160.05322265625
50,-1278.32104492188,-1192.76916503906,-1229.10693359375,-1208.93249511719,-1158.31457519531,-1169.24938964844,-1330.45361328125,-1247.48120117188,-1216.71044921875,-1228.60827636719,-1225.99471435547,51.0008489152711,-1330.45361328125,-1158.31457519531
51,-1274.35229492188,-1193.17114257813,-1222.68041992188,-1203.66577148438,-1156.79565429688,-1175.04553222656,-1325.455078125,-1243.13000488281,-1218.38500976563,-1228.19482421875,-1224.08757324219,48.9013702717678,-1325.455078125,-1156.79565429688
52,-1264.72973632813,-1186.21655273438,-1217.13513183594,-1203.59460449219,-1154.55737304688,-1176.96887207031,-1322.13293457031,-1240.64782714844,-1207.96020507813,-1225.57800292969,-1219.95212402344,47.8276389562605,-1322.13293457031,-1154.55737304688
53,-1260.76989746094,-1185.99108886719,-1223.47644042969,-1196.94323730469,-1154.99035644531,-1183.25024414063,-1323.67456054688,-1235.08227539063,-1197.54272460938,-1225.25695800781,-1218.69777832031,47.6447331568387,-1323.67456054688,-1154.99035644531
54,-1258.30163574219,-1180.57800292969,-1225.86596679688,-1194.7705078125,-1152.13818359375,-1181.71557617188,-1321.3798828125,-1230.45910644531,-1189.53405761719,-1220.65185546875,-1215.53947753906,48.166238442315,-1321.3798828125,-1152.13818359375
55,-1251.37585449219,-1172.67663574219,-1231.77331542969,-1191.43737792969,-1147.68664550781,-1179.30444335938,-1316.86010742188,-1228.01220703125,-1185.50952148438,-1217.6689453125,-1212.23050537109,48.4208188481517,-1316.86010742188,-1147.68664550781
56,-1248.55249023438,-1168.23132324219,-1230.28002929688,-1192.04150390625,-1141.296875,-1183.64184570313,-1319.455078125,-1223.14184570313,-1173.79821777344,-1212.67553710938,-1209.31147460938,50.3826301783632,-1319.455078125,-1141.296875
57,-1248.87182617188,-1169.62683105469,-1234.56127929688,-1191.49816894531,-1146.08386230469,-1187.22497558594,-1317.15539550781,-1220.00769042969,-1164.9453125,-1207.29187011719,-1208.72672119141,49.7706286955566,-1317.15539550781,-1146.08386230469
58,-1248.18225097656,-1167.60424804688,-1238.18664550781,-1189.44689941406,-1144.61328125,-1193.52575683594,-1306.96667480469,-1214.48950195313,-1163.50805664063,-1202.00402832031,-1206.852734375,47.8052761854018,-1306.96667480469,-1144.61328125
59,-1245.64624023438,-1168.2548828125,-1238.28295898438,-1182.55798339844,-1138.43322753906,-1189.22924804688,-1302.49853515625,-1213.44177246094,-1158.25146484375,-1199.60498046875,-1203.62012939453,48.3807709612718,-1302.49853515625,-1138.43322753906
60,-1233.87060546875,-1162.65075683594,-1238.37756347656,-1184.25366210938,-1136.85961914063,-1185.25170898438,-1299.69348144531,-1213.36560058594,-1157.08056640625,-1199.40808105469,-1201.08116455078,47.6274392200744,-1299.69348144531,-1136.85961914063
61,-1232.35083007813,-1154.84045410156,-1233.98254394531,-1185.82397460938,-1135.57629394531,-1178.86987304688,-1299.49523925781,-1208.78015136719,-1148.81018066406,-1195.75244140625,-1197.42819824219,48.9754148710032,-1299.49523925781,-1135.57629394531
62,-1227.84423828125,-1152.19177246094,-1235.67028808594,-1182.36999511719,-1135.40551757813,-1168.55920410156,-1301.66467285156,-1207.32495117188,-1140.92211914063,-1190.58459472656,-1194.25373535156,51.0371285995173,-1301.66467285156,-1135.40551757813
63,-1226.65942382813,-1148.38879394531,-1239.42150878906,-1184.04418945313,-1125.634765625,-1164.72155761719,-1304.203125,-1205.6025390625,-1133.88708496094,-1184.16833496094,-1191.67313232422,54.5442866943623,-1304.203125,-1125.634765625
64,-1225.43530273438,-1141.24182128906,-1238.05297851563,-1180.08227539063,-1117.20690917969,-1163.4052734375,-1300.18811035156,-1203.27172851563,-1131.72253417969,-1184.5068359375,-1188.51137695312,55.5461975472093,-1300.18811035156,-1117.20690917969
65,-1225.08679199219,-1141.828125,-1237.65148925781,-1174.5625,-1108.09948730469,-1162.53540039063,-1299.61669921875,-1205.17663574219,-1125.89562988281,-1183.76940917969,-1186.42221679688,57.5315640739791,-1299.61669921875,-1108.09948730469
66,-1220.22351074219,-1135.83581542969,-1240.15551757813,-1169.31091308594,-1108.78894042969,-1158.873046875,-1299.42309570313,-1204.13671875,-1125.14123535156,-1186.33972167969,-1184.8228515625,58.1953092610778,-1299.42309570313,-1108.78894042969
67,-1218.61804199219,-1136.52319335938,-1238.15612792969,-1169.86962890625,-1103.74096679688,-1160.10607910156,-1298.16235351563,-1203.19091796875,-1121.89172363281,-1186.86901855469,-1183.71280517578,58.5601496954279,-1298.16235351563,-1103.74096679688
